код_мкб,название_диагноза,класс_заболевания
p24.2,неонатальная аспирация крови,"отдельные состояния, возникающие в перинатальном периоде"
p24.3,неонатальная аспирация молока и срыгиваемой пищи,"отдельные состояния, возникающие в перинатальном периоде"
p24.8,другие неонатальные аспирационные синдромы,"отдельные состояния, возникающие в перинатальном периоде"
p24.9,неонатальный аспирационный синдром неуточненный,"отдельные состояния, возникающие в перинатальном периоде"
p25,"интерстициальная эмфизема и родственные состояния, возникшие в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p25.0,"интерстициальная эмфизема, возникшая в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p25.1,"пневмоторакс, возникший в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p25.2,"пневмомедиастинум, возникший в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p25.3,"пневмоперикард, возникший в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p25.8,"другие состояния, связанные с интерстициальной эмфиземой, возникшие в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p26,"легочное кровотечение, возникшее в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p26.0,"трахеобронхиальное кровотечение, возникшее в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p26.1,"массивное легочное кровотечение, возникшее в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p26.8,"другие легочные кровотечения, возникшие в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p26.9,"легочное кровотечение, возникшее в перинатальном периоде, неуточненное","отдельные состояния, возникающие в перинатальном периоде"
p27,"хронические болезни органов дыхания, развившиеся в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p27.0,синдром вильсона-микити,"отдельные состояния, возникающие в перинатальном периоде"
p27.1,"бронхолегочная дисплазия, возникшая в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p27.8,"другие хронические болезни органов дыхания, возникшие в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p27.9,"неуточненные хронические болезни органов дыхания, возникшие в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p28,"другие респираторные нарушения, возникшие в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p28.0,первичный ателектаз у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p28.1,другой и неуточненный ателектаз у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p28.2,приступы цианоза у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p28.3,первичное апноэ во время сна у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p28.4,другие типы апноэ у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p28.5,дыхательная недостаточность у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p28.8,другие уточненные респираторные состояния у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p28.9,респираторное нарушение у новорожденного неуточненное,"отдельные состояния, возникающие в перинатальном периоде"
p29,"сердечно-сосудистые нарушения, возникшие в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p29.0,сердечная недостаточность у новорожденных,"отдельные состояния, возникающие в перинатальном периоде"
p29.1,нарушения ритма сердца у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p29.2,гипертензия у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p29.3,стойкое фетальное кровообращение у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p29.4,преходящая ишемия миокарда у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p29.8,"другие сердечно-сосудистые нарушения, возникшие в перинатальном периоде","отдельные состояния, возникающие в перинатальном периоде"
p29.9,"сердечно-сосудистое нарушение, возникшее в перинатальном периоде, неуточненное","отдельные состояния, возникающие в перинатальном периоде"
p35,врожденные вирусные болезни,"отдельные состояния, возникающие в перинатальном периоде"
p35.0,синдром врожденной краснухи,"отдельные состояния, возникающие в перинатальном периоде"
p35.1,врожденная цитомегаловирусная инфекция,"отдельные состояния, возникающие в перинатальном периоде"
p35.2,"врожденная инфекция, вызванная вирусом простого герпеса [herpes simplex]","отдельные состояния, возникающие в перинатальном периоде"
p35.3,врожденный вирусный гепатит,"отдельные состояния, возникающие в перинатальном периоде"
p35.4,"врожденная болезнь, вызванная вирусом зика","отдельные состояния, возникающие в перинатальном периоде"
p35.8,другие врожденные вирусные инфекции,"отдельные состояния, возникающие в перинатальном периоде"
p35.9,врожденная вирусная болезнь неуточненная,"отдельные состояния, возникающие в перинатальном периоде"
p36,бактериальный сепсис новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p36.0,"сепсис новорожденного, обусловленный стрептококком группы b","отдельные состояния, возникающие в перинатальном периоде"
p36.1,"сепсис новорожденного, обусловленный другими и неуточненными стрептококками","отдельные состояния, возникающие в перинатальном периоде"
p36.2,"сепсис новорожденного, обусловленный золотистым стафилококком [staphylococcus aureus]","отдельные состояния, возникающие в перинатальном периоде"
p36.3,"сепсис новорожденного, обусловленный другими и неуточненными стафилококками","отдельные состояния, возникающие в перинатальном периоде"
p36.4,"сепсис новорожденного, обусловленный кишечной палочкой [escherichia coli]","отдельные состояния, возникающие в перинатальном периоде"
p36.5,"сепсис новорожденного, обусловленный анаэробными микроорганизмами","отдельные состояния, возникающие в перинатальном периоде"
p36.8,"сепсис новорожденного, обусловленный другими бактериальными агентами","отдельные состояния, возникающие в перинатальном периоде"
p36.9,бактериальный сепсис новорожденного неуточненный,"отдельные состояния, возникающие в перинатальном периоде"
p37,другие врожденные инфекционные и паразитарные болезни,"отдельные состояния, возникающие в перинатальном периоде"
p37.0,врожденный туберкулез,"отдельные состояния, возникающие в перинатальном периоде"
p37.1,врожденный токсоплазмоз,"отдельные состояния, возникающие в перинатальном периоде"
p37.2,неонатальный (диссеминированный) листериоз,"отдельные состояния, возникающие в перинатальном периоде"
p37.3,"врожденная малярия, вызванная plasmodium falciparum","отдельные состояния, возникающие в перинатальном периоде"
p37.4,другая врожденная малярия,"отдельные состояния, возникающие в перинатальном периоде"
p37.5,кандидоз новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p37.8,другие уточненные врожденные инфекционные и паразитарные болезни,"отдельные состояния, возникающие в перинатальном периоде"
p37.9,врожденная инфекционная или паразитарная болезнь неуточненная,"отдельные состояния, возникающие в перинатальном периоде"
p38,омфалит новорожденного с небольшим кровотечением или без него,"отдельные состояния, возникающие в перинатальном периоде"
p39,"другие инфекционные болезни, специфичные для перинатального периода","отдельные состояния, возникающие в перинатальном периоде"
p39.0,неонатальный инфекционный мастит,"отдельные состояния, возникающие в перинатальном периоде"
p39.1,конъюнктивит и дакриоцистит у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p39.2,"внутриамниотическая инфекция плода, не классифицированная в других рубриках","отдельные состояния, возникающие в перинатальном периоде"
p39.3,неонатальная инфекция мочевых путей,"отдельные состояния, возникающие в перинатальном периоде"
p39.4,неонатальная инфекция кожных покровов,"отдельные состояния, возникающие в перинатальном периоде"
p39.8,"другая уточненная инфекция, специфичная для перинатального периода","отдельные состояния, возникающие в перинатальном периоде"
p39.9,"инфекция, специфичная для перинатального периода, неуточненная","отдельные состояния, возникающие в перинатальном периоде"
p50,кровопотеря у плода,"отдельные состояния, возникающие в перинатальном периоде"
p50.0,потеря крови плодом из предлежащего сосуда,"отдельные состояния, возникающие в перинатальном периоде"
p50.1,потеря крови плодом из разорванной пуповины,"отдельные состояния, возникающие в перинатальном периоде"
p50.2,потеря крови плодом из плаценты,"отдельные состояния, возникающие в перинатальном периоде"
p50.3,кровотечение у плода другого однояйцевого близнеца,"отдельные состояния, возникающие в перинатальном периоде"
p50.4,кровотечение у плода в кровеносное русло матери,"отдельные состояния, возникающие в перинатальном периоде"
p50.5,потеря крови у плода из перерезанного конца пуповины при однояйцевой двойне,"отдельные состояния, возникающие в перинатальном периоде"
p50.8,другая форма кровопотери у плода,"отдельные состояния, возникающие в перинатальном периоде"
p50.9,кровопотеря у плода неуточненная,"отдельные состояния, возникающие в перинатальном периоде"
p51,кровотечение из пуповины у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p51.0,массивное кровотечение из пуповины у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p51.8,другое кровотечение из пуповины у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p51.9,кровотечение из пуповины у новорожденного неуточненное,"отдельные состояния, возникающие в перинатальном периоде"
p52,внутричерепное нетравматическое кровоизлияние у плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
t47.3,отравление солевыми и осмотическими слабительными средствами,не определен
p52.0,внутрижелудочковое (нетравматическое) кровоизлияние 1-ой степени у плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p52.1,внутрижелудочковое (нетравматическое) кровоизлияние 2-ой степени у плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p52.2,внутрижелудочковое (нетравматическое) кровоизлияние 3-ей и 4-ой степени у плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p52.3,неуточненное внутрижелудочковое (нетравматическое) кровоизлияние у плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p52.4,кровоизлияние в мозг (нетравматическое) у плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p52.5,субарахноидальное (нетравматическое) кровоизлияние у плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p52.6,кровоизлияние в мозжечок и заднюю черепную ямку (нетравматическое) у плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p52.8,другие внутричерепные (нетравматические) кровоизлияния у плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p52.9,внутричерепное (нетравматическое) кровоизлияние у плода и новорожденного неуточненное,"отдельные состояния, возникающие в перинатальном периоде"
p53,геморрагическая болезнь плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p54,другие неонатальные кровотечения,"отдельные состояния, возникающие в перинатальном периоде"
p54.0,гематемезис новорожденных,"отдельные состояния, возникающие в перинатальном периоде"
p54.1,мелена новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p54.2,кровотечение из прямой кишки у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p54.3,желудочно-кишечное кровотечение у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p54.4,кровоизлияние в надпочечник у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p54.5,кровоизлияние в кожу у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p54.6,кровотечение из влагалища у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p54.8,другие уточненные кровотечения у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p54.9,неонатальное кровотечение неуточненное,"отдельные состояния, возникающие в перинатальном периоде"
p55,гемолитическая болезнь плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p55.0,резус-изоиммунизация плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p55.1,ab0-изоиммунизация плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p55.8,другие формы гемолитической болезни плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p55.9,гемолитическая болезнь плода и новорожденного неуточненная,"отдельные состояния, возникающие в перинатальном периоде"
p56,"водянка плода, обусловленная гемолитической болезнью","отдельные состояния, возникающие в перинатальном периоде"
p56.0,"водянка плода, обусловленная изоиммунизацией","отдельные состояния, возникающие в перинатальном периоде"
p56.9,"водянка плода, обусловленная другой и неуточненной гемолитической болезнью","отдельные состояния, возникающие в перинатальном периоде"
p57,ядерная желтуха,"отдельные состояния, возникающие в перинатальном периоде"
p57.0,"ядерная желтуха, обусловленная изоиммунизацией","отдельные состояния, возникающие в перинатальном периоде"
p57.8,другие уточненные формы ядерной желтухи,"отдельные состояния, возникающие в перинатальном периоде"
p57.9,ядерная желтуха неуточненная,"отдельные состояния, возникающие в перинатальном периоде"
p58,"неонатальная желтуха, обусловленная чрезмерным гемолизом","отдельные состояния, возникающие в перинатальном периоде"
p58.0,"неонатальная желтуха, обусловленная кровоподтеками","отдельные состояния, возникающие в перинатальном периоде"
p58.1,"неонатальная желтуха, обусловленная кровотечением","отдельные состояния, возникающие в перинатальном периоде"
p58.2,"неонатальная желтуха, обусловленная инфекцией","отдельные состояния, возникающие в перинатальном периоде"
p58.3,"неонатальная желтуха, обусловленная полицитемией","отдельные состояния, возникающие в перинатальном периоде"
p58.4,"неонатальная желтуха, обусловленная лекарственными средствами или токсинами, перешедшими из организма матери или введенными новорожденному","отдельные состояния, возникающие в перинатальном периоде"
p58.5,"неонатальная желтуха, обусловленная заглатыванием материнской крови","отдельные состояния, возникающие в перинатальном периоде"
p58.8,"неонатальная желтуха, обусловленная другими уточненными формами чрезмерного гемолиза","отдельные состояния, возникающие в перинатальном периоде"
p58.9,"неонатальная желтуха, обусловленная чрезмерным гемолизом, неуточненная","отдельные состояния, возникающие в перинатальном периоде"
p59,"неонатальная желтуха, обусловленная другими и неуточненными причинами","отдельные состояния, возникающие в перинатальном периоде"
p59.0,"неонатальная желтуха, связанная с преждевременным родоразрешением","отдельные состояния, возникающие в перинатальном периоде"
p59.1,синдром сгущения желчи,"отдельные состояния, возникающие в перинатальном периоде"
p59.2,неонатальная желтуха вследствие других и неуточненных повреждений клеток печени,"отдельные состояния, возникающие в перинатальном периоде"
p59.3,"неонатальная желтуха, обусловленная средствами, ингибирующими лактацию","отдельные состояния, возникающие в перинатальном периоде"
p59.8,"неонатальная желтуха, обусловленная другими уточненными причинами","отдельные состояния, возникающие в перинатальном периоде"
p59.9,неонатальная желтуха неуточненная,"отдельные состояния, возникающие в перинатальном периоде"
p60,диссеминированное внутрисосудистое свертывание крови у плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p61,другие перинатальные гематологические нарушения,"отдельные состояния, возникающие в перинатальном периоде"
p61.0,преходящая неонатальная тромбоцитопения,"отдельные состояния, возникающие в перинатальном периоде"
p61.1,полицитемия новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p61.2,анемия недоношенных,"отдельные состояния, возникающие в перинатальном периоде"
p61.3,врожденная анемия вследствие кровопотери у плода,"отдельные состояния, возникающие в перинатальном периоде"
p61.4,"другие врожденные анемии, не классифицированные в других рубриках","отдельные состояния, возникающие в перинатальном периоде"
p61.5,преходящая неонатальная нейтропения,"отдельные состояния, возникающие в перинатальном периоде"
p61.6,другие преходящие неонатальные расстройства коагуляции,"отдельные состояния, возникающие в перинатальном периоде"
p61.8,другие уточненные перинатальные гематологические нарушения,"отдельные состояния, возникающие в перинатальном периоде"
p61.9,перинатальное гематологическое нарушение неуточненное,"отдельные состояния, возникающие в перинатальном периоде"
p70,"преходящие нарушения углеводного обмена, специфичные для плода и новорожденного","отдельные состояния, возникающие в перинатальном периоде"
p70.0,синдром новорожденного от матери с гестационным диабетом,"отдельные состояния, возникающие в перинатальном периоде"
p70.1,"синдром новорожденного от матери, страдающей диабетом","отдельные состояния, возникающие в перинатальном периоде"
p70.2,сахарный диабет новорожденных,"отдельные состояния, возникающие в перинатальном периоде"
p70.3,ятрогенная неонатальная гипогликемия,"отдельные состояния, возникающие в перинатальном периоде"
p70.4,другие неонатальные гипогликемии,"отдельные состояния, возникающие в перинатальном периоде"
p70.8,другие преходящие нарушения углеводного обмена у плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p70.9,преходящее нарушение углеводного обмена у плода и новорожденного неуточненное,"отдельные состояния, возникающие в перинатальном периоде"
p71,преходящие неонатальные нарушения обмена кальция и магния,"отдельные состояния, возникающие в перинатальном периоде"
p71.0,гипокальциемия новорожденного от коровьего молока,"отдельные состояния, возникающие в перинатальном периоде"
p71.1,другие формы неонатальной гипокальциемии,"отдельные состояния, возникающие в перинатальном периоде"
p71.2,неонатальная гипомагниемия,"отдельные состояния, возникающие в перинатальном периоде"
p71.3,неонатальная тетания без дефицита кальция и магния,"отдельные состояния, возникающие в перинатальном периоде"
p71.4,преходящий неонатальный гипопаратиреоз,"отдельные состояния, возникающие в перинатальном периоде"
p71.8,другие преходящие неонатальные нарушения обмена кальция и магния,"отдельные состояния, возникающие в перинатальном периоде"
p71.9,преходящее неонатальное нарушение обмена кальция и магния неуточненное,"отдельные состояния, возникающие в перинатальном периоде"
p72,другие преходящие неонатальные эндокринные нарушения,"отдельные состояния, возникающие в перинатальном периоде"
p72.0,"неонатальный зоб, не классифицированный в других рубриках","отдельные состояния, возникающие в перинатальном периоде"
p72.1,преходящий неонатальный гипертиреоз,"отдельные состояния, возникающие в перинатальном периоде"
p72.2,"другие преходящие неонатальные нарушения функции щитовидной железы, не классифицированные в других рубриках","отдельные состояния, возникающие в перинатальном периоде"
p72.8,другие уточненные преходящие неонатальные эндокринные нарушения,"отдельные состояния, возникающие в перинатальном периоде"
p72.9,преходящее неонатальное эндокринное нарушение неуточненное,"отдельные состояния, возникающие в перинатальном периоде"
p74,другие преходящие неонатальные нарушения водно-солевого обмена веществ,"отдельные состояния, возникающие в перинатальном периоде"
p74.0,поздний метаболический ацидоз у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p74.1,дегидратация у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p74.2,дисбаланс натрия у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p74.3,дисбаланс калия у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p74.4,другие преходящие нарушения водно-солевого обмена у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p74.5,преходящая тирозинемия у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p74.8,другие преходящие нарушения обмена веществ у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p74.9,преходящее нарушение обмена веществ у новорожденного неуточненное,"отдельные состояния, возникающие в перинатальном периоде"
p75,мекониевый илеус при кистозном фиброзе (е84.1†),"отдельные состояния, возникающие в перинатальном периоде"
p76,другие виды непроходимости кишечника у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p76.0,синдром мекониевой пробки,"отдельные состояния, возникающие в перинатальном периоде"
p76.1,преходящий илеус у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p76.2,кишечная непроходимость вследствие сгущения молока,"отдельные состояния, возникающие в перинатальном периоде"
p76.8,другая уточненная непроходимость кишечника у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p76.9,непроходимость кишечника у новорожденного неуточненная,"отдельные состояния, возникающие в перинатальном периоде"
p77,некротизирующий энтероколит у плода и новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p78,другие расстройства системы пищеварения в перинатальном периоде,"отдельные состояния, возникающие в перинатальном периоде"
p78.0,перфорация кишечника в перинатальном периоде,"отдельные состояния, возникающие в перинатальном периоде"
p78.1,другие формы неонатального перитонита,"отдельные состояния, возникающие в перинатальном периоде"
p78.2,гематемезис и мелена вследствие заглатывания материнской крови,"отдельные состояния, возникающие в перинатальном периоде"
p78.3,неинфекционная диарея у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p78.8,другие уточненные расстройства системы пищеварения в перинатальном периоде,"отдельные состояния, возникающие в перинатальном периоде"
p78.9,расстройство системы пищеварения в перинатальном периоде неуточненное,"отдельные состояния, возникающие в перинатальном периоде"
p80,гипотермия новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p80.0,синдром холодовой травмы,"отдельные состояния, возникающие в перинатальном периоде"
p80.8,другая гипотермия новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p80.9,гипотермия новорожденного неуточненная,"отдельные состояния, возникающие в перинатальном периоде"
p81,другие нарушения терморегуляции у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p81.0,"гипотермия новорожденного, вызванная факторами внешней среды","отдельные состояния, возникающие в перинатальном периоде"
p81.8,другие уточненные нарушения терморегуляции у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p81.9,нарушение терморегуляции у новорожденного неуточненное,"отдельные состояния, возникающие в перинатальном периоде"
p83,"другие изменения наружных покровов, специфичные для плода и новорожденного","отдельные состояния, возникающие в перинатальном периоде"
p83.0,склерема новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p83.1,неонатальная токсическая эритема,"отдельные состояния, возникающие в перинатальном периоде"
p83.2,"водянка плода, не связанная с гемолитической болезнью","отдельные состояния, возникающие в перинатальном периоде"
p83.3,"другие и неуточненные отеки, специфичные для плода и новорожденного","отдельные состояния, возникающие в перинатальном периоде"
p83.4,набухание молочных желез у новорожденного,"отдельные состояния, возникающие в перинатальном периоде"
p83.5,врожденное гидроцеле,"отдельные состояния, возникающие в перинатальном периоде"
p83.6,полип культи пуповины,"отдельные состояния, возникающие в перинатальном периоде"
p83.8,"другие уточненные изменения наружных покровов, специфичные для плода и новорожденного","отдельные состояния, возникающие в перинатальном периоде"
p83.9,"изменение наружных покровов, специфичное для плода и новорожденного, неуточненное","отдельные состояния, возникающие в перинатальном периоде"
