код_препарата,дозировка,торговое_название,стоимость,мета_информация
202100060,10,нордитропин,-1,"нордитропин, 10 мг/1,5 мл, 1,5 мл, картридж в шприц-ручке № 1, раствор для подкожного введения"
202100202,500,сабрил,-1,"сабрил, 500 мг, № 50, гранулы для приготовления раствора для приема внутрь"
202100203,0.25,талценна,-1,"талценна, 0,25 мг № 30, капсулы"
202100204,1,талценна,-1,"талценна, 1 мг № 30, капсулы"
202100045,100,оргаспорин,-1,"оргаспорин, 100 мг № 50, капсулы"
202100206,20,силденафил кардио,-1,"силденафил кардио, 20 мг, № 90, таблетки, покрытые пленочной оболочкой"
201600154,400,тегретол цр,-1,"тегретол цр, 400 мг № 30, таблетки пролонгированного действия покрытые оболочкой"
201600109,5,везикар,-1,"везикар, 5 мг № 30, таблетки покрытые плёночной оболочкой"
202100208,75,кайстон,-1,"кайстон, 75 мг № 84, порошок для приготовления раствора для ингаляций"
202100210,1,цефтазидим-акос,-1,"цефтазидим-акос, 1 г, флакон № 1, порошок для приготовления раствора для инъекций"
202100072,300,габапентин канон,-1,"габапентин канон, 300 мг № 50, капсулы"
201700137,300,лейкостим,-1,"лейкостим, 300 мкг/мл, 0,5 мл, шприц № 1, раствор для внутривенного и подкожного введения"
202100211,600,нейронтин,-1,"нейронтин, 600 мг № 50, таблетки покрытые пленочной оболочкой"
202000132,160+4.5,формисонид,-1,"формисонид, 160 мкг+4,5 мкг № 120, порошок для ингаляций дозированный с устройством"
201800143,unknown,"система самоконтроля глюкозы""accu-chek combo""",-1,система для самоконтроля глюкозы крови с функцией введения инсулина акку-чек комбо с принадлежностями № 1
202000155,5,афинитор,-1,"афинитор, 5 мг № 30, таблетки"
202000242,50,осполот,-1,"осполот, 50 мг № 200, таблетки покрытые плёночной оболочкой"
201200099,0.5,буденит стери-неб,-1,"буденит стери-неб, 0,5 мг/мл, 2 мл № 20, суспензия для ингаляций"
202100051,20,железа (iii) гидроксид сахарозный комплекс,-1,"железа (iii) гидроксид сахарозный комплекс, 20 мг/мл 5 мл № 10, раствор для внутривенного введения"
202100023,5,тирэус,-1,"тирэус, 5 мг № 60, капсулы"
201900174,40,аторвастатин медисорб,-1,"аторвастатин медисорб, 40 мг № 30, таблетки покрытые плёночной оболочкой"
202100216,20,аторвастатин-алиум,-1,"аторвастатин-алиум, 20 мг № 30, таблетки покрытые плёночной оболочкой"
202100217,10,квадрапарин-солофарм,-1,"квадрапарин-солофарм, 10000 анти-ха ме/мл, 0,6 мл № 10, раствор для инъекций"
202100009,100,феварин,-1,"феварин, 100 мг № 60, таблетки, покрытые пленочной оболочкой"
202100219,30,дулоксента,-1,"дулоксента, 30 мг № 14, капсулы кишечнорастворимые"
202000064,50,трамадол авексима,-1,"трамадол авексима, 50 мг № 20, капсулы"
202100025,240,эумилео,-1,"эумилео, 240 мг № 56, капсулы кишечнорастворимые"
202100222,22,примапур,-1,"примапур, 22 мкг/0,5 мл, 0,5 мл, картридж в шприц-ручке № 1, раствор для подкожного введения"
202100223,20,альбумин человеческий,-1,"альбумин человеческий, 20%, 50 мл, флакон № 1, раствор для инфузий"
201800095,10,лемтрада,-1,"лемтрада, 10 мг/мл, 1,2 мл, флакон № 1, концентрат для приготовления раствора для инфузий"
201600031,20,мемантин канон,-1,"мемантин канон, 20 мг № 30, таблетки покрытые плёночной оболочкой"
202000209,1,инлита,-1,"инлита, 1 мг № 56, таблетки покрытые пленочной оболочкой"
202200001,160+4.5,респифорб,-1,"респифорб, 160 мкг+4,5 мкг/доза № 120, капсулы с порошком для ингаляций"
202200003,125,бозентан канон,-1,"бозентан канон, 125 мг № 56, таблетки, покрытые пленочной оболочкой"
202200004,125,бозентан,-1,"бозентан, 125 мг № 56, таблетки, покрытые пленочной оболочкой"
202200005,125,бозентан,-1,"бозентан, 125 мг № 60, таблетки, покрытые пленочной оболочкой"
202200006,150,пралуэнт,-1,"пралуэнт, 150 мг/мл, 1 мл, шприц-ручки № 2, раствор для подкожного введения"
202200007,500,леветирацетам-алиум,-1,"леветирацетам-алиум, 500 мг № 30, таблетки, покрытые пленочной оболочкой"
202400046,unknown,трансмиттер,-1,"передатчик (набор трансмиттера) guardian connect (mmt-7820) № 1, для системы чрескожного мониторинга уровня глюкозы в интерсциальной жидкости"
202200008,0.5,энтекавир сандоз,-1,"энтекавир сандоз, 0,5 мг № 30, таблетки покрытые плёночной оболочкой"
201100063,1000,бериате,-1,"бериате, 1000 ме № 1, лиофилизат для приготовления раствора для внутривенного введения"
202200012,40,тимексон,-1,"тимексон, 40 мг/мл, 1 мл, шприцы № 6, раствор для подкожного введения"
202200014,5,эликвис,-1,"эликвис, 5 мг № 20, таблетки покрытые плёночной оболочкой"
202200015,100,зенлистик,-1,"зенлистик, 100 мг № 14, таблетки, покрытые пленочной оболочкой"
202200016,150,зенлистик,-1,"зенлистик, 150 мг № 14, таблетки, покрытые пленочной оболочкой"
202200017,200,зенлистик,-1,"зенлистик, 200 мг № 14, таблетки, покрытые пленочной оболочкой"
202200018,1000+1200,фанди,-1,"фанди, 1000 ме+1200 ме № 1, лиофилизат для приготовления раствора для инфузий"
202400045,unknown,трансмиттер,-1,"передатчик (набор трансмиттера) guardian link (mmt-7910w3) № 1, для системы чрескожного мониторинга уровня глюкозы в интерсциальной жидкости"
202200021,500,сульфасалазин,-1,"сульфасалазин, 500 мг № 30, таблетки покрытые плёночной оболочкой"
201900151,0.25,дигоксин,-1,"дигоксин, 0,25 мг № 50, таблетки"
202300048,50,элтромбопаг-29ф,-1,"элтромбопаг-29ф, 50 мг № 28, таблетки, покрытые пленочной оболочкой"
202200141,40,ксоспата,-1,"ксоспата, 40 мг № 84, таблетки покрытые пленочной оболочкой"
202400060,100,нексвиазайм,-1,"нексвиазайм, 100 мг № 1, лиофилизат для приготовления раствора для инфузий"
202400083,250,урсофальк,-1,"урсофальк, 250 мг № 100, капсулы"
201300114,20,лефлуномид канон,-1,"лефлуномид канон, 20 мг № 30, таблетки покрытые плёночной оболочкой"
202300133,10,ламзид,-1,"ламзид, 10 мг № 1, порошок для приготовления раствора для инфузий"
202200080,50,калидеко,-1,"калидеко, 50 мг № 56, гранулы для приготовления раствора для приема внутрь"
201600070,200,бифлурин,-1,"бифлурин, 200 мг № 14, таблетки покрытые плёночной оболочкой"
201700025,2,рисперидон канон,-1,"рисперидон канон, 2 мг № 20, таблетки покрытые плёночной оболочкой"
202300096,2,рисперидон-крка,-1,"рисперидон-крка, 2 мг № 20, таблетки покрытые плёночной оболочкой"
202400064,500,капецитабин-тл,-1,"капецитабин-тл, 500 мг № 120, таблетки покрытые плёночной оболочкой"
202400065,500,капаметин фс,-1,"капаметин фс, 500 мг № 120, таблетки покрытые плёночной оболочкой"
202400067,10,липобон,-1,"липобон, 10 мг № 30, таблетки"
202400009,100,ултомирис,-1,"ултомирис, 100 мг/мл (флакон) 3 мл № 1, концентрат для приготовления раствора для инфузий"
202200090,0.5,аналидас,-1,"аналидас, 0,5 мг № 100, капсулы"
202300218,100,зенлистик,-1,"зенлистик, 100 мг № 56, таблетки, покрытые пленочной оболочкой"
202400068,10,икатибант-тева,-1,"икатибант-тева, 10 мг/мл, 3 мл, шприц № 1, раствор для подкожного введения"
202400070,15,рупсулимид,-1,"рупсулимид, 15 мг № 21, капсулы"
200900417,1,програф,-1,"програф, 1 мг № 50, капсулы"
202400076,5,креон микро,-1,"креон микро, 5000 ед, 20 г № 1, гранулы кишечнорастворимые"
200900030,50,асентра,-1,"асентра, 50 мг № 28, таблетки покрытые плёночной оболочкой"
202400078,10,амеверол,-1,"амеверол, 10 мг № 30, таблетки"
202400082,500,урсофальк,-1,"урсофальк, 500 мг № 50, таблетки покрытые плёночной оболочкой"
202400084,10,аципол,-1,"аципол, 10000000 кое, № 30, капсулы"
202400085,20,оксервейт,-1,"оксервейт, 20 мкг/мл, флакон 1 мл № 7, капли глазные"
202200049,unknown,сенсор (датчик freestyle libre) для мониторирования уровня глюкозы,-1,датчик freestyle libre системы flash чрескожного мониторинга уровня глюкозы freestyle libre № 1 (однораз.сенсор)
202300190,2.5,гутрон,-1,"гутрон, 2,5 мг № 50, таблетки"
202200150,600,талокса,-1,"талокса, 600 мг № 100, таблетки"
202200112,167,намускла,-1,"намускла, 167 мг № 30, твердые капсулы"
202200118,100,энцетрон-солофарм,-1,"энцетрон-солофарм, 100 мг/мл - 10 мл, ампулы № 10, раствор для приема внутрь"
202400100,60,дулоксента,-1,"дулоксента, 60 мг № 28, капсулы кишечнорастворимые"
202300209,4,урорек,-1,"урорек, 4 мг № 30, капсулы"
202400102,140,темомид,-1,"темомид, 140 мг № 5, капсулы"
202400103,100,темомид,-1,"темомид, 100 мг № 5, капсулы"
200900185,10,мабтера,-1,"мабтера, 500мг/50мл (10 мг/мл, 50 мл) № 1, концентрат для приготовления раствора для инфузий"
202200084,100,хлорпромазин канон,-1,"хлорпромазин канон, 100 мг № 10, таблетки покрытые плёночной оболочкой"
202300005,25,миеланикс,-1,"миеланикс, 25 мг № 21, капсулы"
202000098,0.05,хлоргексидина биглюконат,-1,"хлоргексидина биглюконат, 0,05%, 100 мл № 1, раствор для местного и наружного применения"
201200233,2.5,варфарин,-1,"варфарин, 2,5 мг № 50, таблетки"
201500012,100,диклофенак ретард,-1,"диклофенак ретард, 100 мг № 20, таблетки пролонгированного действия покрытые кишечнорастворимой оболочкой"
201300105,6,виктоза,-1,"виктоза, 6 мг/мл, 3 мл № 2, раствор для подкожного введения"
201500117,1000,натрия пара-аминосалицилат,-1,"натрия пара-аминосалицилат, 1000 мг № 100, таблетки покрытые оболочкой, кишечнорастворимые"
201400007,50,ламитор,-1,"ламитор, 50 мг № 30, таблетки"
201600032,600,монопас,-1,"монопас, 600 мг/г, 8,34 г № 10, гранулы, покрытые кишечнорастворимой оболочкой"
201600034,100,беталок 30к,-1,"беталок 30к, 100 мг № 30, таблетки с замедленным высвобождением покрытые оболочкой"
201600035,100,эгилок с,-1,"эгилок с, 100 мг № 30, таблетки пролонгированного действия покрытые плёночной оболочкой"
201600036,50,эгилок с,-1,"эгилок с, 50 мг № 30, таблетки пролонгированного действия покрытые плёночной оболочкой"
201600038,25,эгилок с,-1,"эгилок с, 25 мг № 30, таблетки пролонгированного действия покрытые плёночной оболочкой"
201600039,25,беталок 30к,-1,"беталок 30к, 25 мг № 14, таблетки с замедленным высвобождением покрытые оболочкой"
201600041,0.25,будесонид-натив,-1,"будесонид-натив, 0,25 мг/мл, 2 мл № 10, раствор для ингаляций"
201600042,0.5,будесонид-натив,-1,"будесонид-натив, 0,5 мг/мл, 2 мл № 10, раствор для ингаляций"
201600043,500,амикацин,-1,"амикацин, 500 мг № 1, порошок для приготовления раствора для инъекций"
201500146,unknown,умкалор,-1,"умкалор, 20 мл № 1, раствор для приема внутрь"
201600048,10,метортрит,-1,"метортрит, 10 мг/мл, 2,0 мл, шприц № 1, раствор для инъекций"
201600050,0.5,аранесп,-1,"аранесп, 0,5 мг, 1 мл (шприц) № 1, раствор для инъекций"
201300090,20,роксера,-1,"роксера, 20 мг № 30, таблетки покрытые плёночной оболочкой"
201400036,75,плавикс,-1,"плавикс, 75 мг № 28, таблетки покрытые плёночной оболочкой"
201200204,2,тизалуд,-1,"тизалуд, 2 мг № 30, таблетки"
200900051,1,беротек,-1,"беротек, 1 мг/мл 20 мл № 1, раствор для ингаляций"
201500009,30,сермион,-1,"сермион, 30 мг № 30, таблетки покрытые оболочкой"
201200023,10,цетиризин,-1,"цетиризин, 10 мг № 10, таблетки покрытые плёночной оболочкой"
200900206,50,насобек,-1,"насобек, 50 мкг/доза 200 доз № 1, спрей назальный дозированный"
201400084,5,сафрис,-1,"сафрис, 5 мг № 60, таблетки"
201400057,5,тералиджен,-1,"тералиджен, 5 мг № 50, таблетки покрытые плёночной оболочкой"
201300159,0.5,элзепам,-1,"элзепам, 0,5 мг № 50, таблетки"
201600060,100,биосулин н,-1,"биосулин н, 100 ме/мл, 3 мл, картриджи в шприц-ручках № 5, раствор для инъекций"
201200220,400,церетон,-1,"церетон, 400 мг № 14, капсулы"
201200059,200,лимипранил,-1,"лимипранил, 200 мг № 30, таблетки"
201600064,30,нифекард хл,-1,"нифекард хл, 30 мг № 60, таблетки с модифицированным высвобождением, покрытые пленочной оболочкой"
201600065,60,нифекард хл,-1,"нифекард хл, 60 мг № 60, таблетки с модифицированным высвобождением, покрытые пленочной оболочкой"
201300209,unknown,эссливер форте,-1,"эссливер форте, № 50, капсулы"
201600066,250,беклометазон-аэронатив,-1,"беклометазон-аэронатив, 250 мкг/доза 200 доз № 1, аэрозоль для ингаляций дозированный"
201200218,10,элицея,-1,"элицея, 10 мг № 28, таблетки покрытые плёночной оболочкой"
201200202,50,алевал,-1,"алевал, 50 мг № 28, таблетки покрытые плёночной оболочкой"
201500091,5,супрастинекс,-1,"супрастинекс, 5 мг/мл 20 мл № 1, капли для приема внутрь"
201200086,25,кветиапин,-1,"кветиапин, 25 мг № 60, таблетки покрытые плёночной оболочкой"
201600071,160,соталол,-1,"соталол, 160 мг № 30, таблетки"
201600072,80,соталол,-1,"соталол, 80 мг № 30, таблетки"
201300163,600,зеникс,-1,"зеникс, 600 мг № 10, таблетки покрытые плёночной оболочкой"
201600073,3,интерфераль,-1,"интерфераль, 3 млн.ме № 5, лиофилизат для приготовления раствора для инъекций"
201600074,1,интерфераль,-1,"интерфераль, 1 млн.ме № 5, лиофилизат для приготовления раствора для инъекций"
201400014,2,глимепирид канон,-1,"глимепирид канон, 2 мг № 30, таблетки"
201300004,2,диамерид,-1,"диамерид, 2 мг № 30, таблетки"
201600075,20,элицея,-1,"элицея, 20 мг № 28, таблетки покрытые плёночной оболочкой"
201200060,400,лимипранил,-1,"лимипранил, 400 мг № 30, таблетки покрытые плёночной оболочкой"
201200221,100,филахромин фс,-1,"филахромин фс, 100 мг № 120, капсулы"
201500044,250,лефлобакт,-1,"лефлобакт, 250 мг № 10, таблетки покрытые плёночной оболочкой"
201500208,250,левофлоксацин,-1,"левофлоксацин, 250 мг № 10, таблетки покрытые плёночной оболочкой"
201300005,3,диамерид,-1,"диамерид, 3 мг № 30, таблетки"
201200055,4,золерикс,-1,"золерикс, 4 мг (0,8 мг/мл) 5 мл, флакон № 1, концентрат для приготовления раствора для инфузий"
201600079,200,ниаспам,-1,"ниаспам, 200 мг № 30, капсулы пролонгированного действия"
200628000,200,дюспаталин,-1,"дюспаталин, 200 мг № 30, капсулы с пролонгированным высвобождением"
201600085,100,l-тироксин,-1,"l-тироксин, 100 мкг № 50, таблетки"
201400095,0.125,фликсотид,-1,"фликсотид, 0,125 мг/доза 60 доз № 1, аэрозоль для ингаляций дозированный"
201400096,50,фликсотид,-1,"фликсотид, 50 мкг/доза 120 доз № 1, аэрозоль для ингаляций дозированный"
201600087,145,фенофибрат канон,-1,"фенофибрат канон, 145 мг № 30, таблетки покрытые плёночной оболочкой"
201500018,30,дулоксетин канон,-1,"дулоксетин канон, 30 мг № 14, капсулы кишечнорастворимые"
201500019,60,дулоксетин канон,-1,"дулоксетин канон, 60 мг № 28, капсулы кишечнорастворимые"
201600082,unknown,тест-полоски акку-чек перформа,-1,"тест-полоски ""акку-чек перформа"" № 100"
201400079,10,экталуст,-1,"экталуст, 10 мг № 14, таблетки покрытые плёночной оболочкой"
201600083,10,монлер,-1,"монлер, 10 мг № 14, таблетки покрытые плёночной оболочкой"
201400077,5,экталуст,-1,"экталуст, 5 мг № 14, таблетки жевательные"
201500111,3.5,бронхо-мунал п,-1,"бронхо-мунал п, 3,5 мг № 10, капсулы"
201200252,2.5,бромокриптин,-1,"бромокриптин, 2,5 мг № 30, таблетки"
201500190,50,трамал,-1,"трамал, 50 мг № 20, капсулы"
201300208,20,лефлайд,-1,"лефлайд, 20 мг № 30, таблетки покрытые плёночной оболочкой"
201500088,7.5,кораксан,-1,"кораксан, 7,5 мг № 28, таблетки покрытые плёночной оболочкой"
201600086,40,симвастатин алкалоид,-1,"симвастатин алкалоид, 40 мг № 28, таблетки покрытые плёночной оболочкой"
200048400,2.5,варфарин никомед,-1,"варфарин никомед, 2,5 мг № 50"
201600088,250,урсодез,-1,"урсодез, 250 мг № 100, капсулы"
200900456,600,себиво,-1,"себиво, 600 мг № 28, таблетки покрытые плёночной оболочкой"
201600092,200,тегретол,-1,"тегретол, 200 мг № 50, таблетки"
201600093,200,тегретол цр,-1,"тегретол цр, 200 мг № 50, таблетки пролонгированного действия покрытые оболочкой"
201600094,0.25,ипратропиум-натив,-1,"ипратропиум-натив, 0,25 мг/мл, 20 мл № 1, раствор для инъекций"
201600096,10,флидарин,-1,"флидарин, 10 мг № 20, таблетки покрытые плёночной оболочкой"
201600097,2.5,метотрексат,-1,"метотрексат, 2,5 мг № 50, таблетки покрытые оболочкой"
201500082,500,эксиджад,-1,"эксиджад, 500 мг № 84, таблетки диспергируемые"
201600099,10,алфузозин,-1,"алфузозин, 10 мг № 30, таблетки пролонгированного действия"
201600100,10,алфупрост мр,-1,"алфупрост мр, 10 мг № 30, таблетки пролонгированного действия"
201600101,200,карбамазепин ретард-акрихин,-1,"карбамазепин ретард-акрихин, 200 мг № 50, таблетки пролонгированного действия"
201400113,120,минирин,-1,"минирин, 120 мкг № 30, таблетки подъязычные для рассасывания"
201500040,200+5,зенхейл,-1,"зенхейл, 200 мкг+5 мкг/доза, 120 доз № 1, аэрозоль для ингаляций дозированный"
201500041,100+5,зенхейл,-1,"зенхейл, 100 мкг+5 мкг/доза, 120 доз № 1, аэрозоль для ингаляций дозированный"
201300178,100,ликферр 100,-1,"ликферр 100, 100 мг (20 мг/мл) 5 мл № 5, раствор для внутривенного введения"
201300021,20,фермед,-1,"фермед, 20 мг/мл 5 мл № 5, раствор для внутривенного введения"
201600102,20,аксоглатиран фс,-1,"аксоглатиран фс, 20 мг/мл 1 мл № 28, раствор для подкожного введения"
201200034,1,колистин,-1,"колистин, 1000000 ед (80 мг) № 100, порошок для приготовления раствора для ингаляций"
201500013,200,альгерон,-1,"альгерон, 200 мкг/мл, шприц 0,8 мл № 1, раствор для подкожного введения"
201600105,3.5,велкейд,-1,"велкейд, 3,5 мг № 1, лиофилизат для приготовления раствора для внутривенного и подкожного введения"
201600108,3,кудесан,-1,"кудесан, 3% 20 мл № 1, капли для приема внутрь"
201400102,unknown,"система самоконтроля глюкозы""accu-chek combo""",-1,система самоконтроля глюкозы крови с возможностью введения инсулина accu-chek combo с принадлежностями
201500218,300,конвульсофин,-1,"конвульсофин, 300 мг № 100, таблетки"
201400157,0.2,цинокап,-1,"цинокап, 0,2% 25 г № 1, крем для наружного применения"
201600112,1,кандид,-1,"кандид, 1% 15 мл № 1, раствор для местного применения"
201300044,0.25,буденит стери-неб,-1,"буденит стери-неб, 0,25 мг/мл, 2 мл № 60, суспензия для ингаляций"
201300045,0.5,буденит стери-неб,-1,"буденит стери-неб, 0,5 мг/мл, 2 мл № 60, суспензия для ингаляций"
201000052,1,элидел ,-1,"элидел, 1% 15 г № 1, крем для наружного применения"
201600116,5,флуифорт,-1,"флуифорт, 5 г № 10, гранулы для приготовления пероральной суспензии"
201600118,1000,глиформин,-1,"глиформин пролонг, 1000 мг № 60, таблетки пролонгированного действия покрытые плёночной оболочкой"
201400093,0.1,адвантан,-1,"адвантан, 0,1%, туба 20 г № 1, эмульсия для наружного применения"
201400091,0.1,адвантан,-1,"адвантан 0,1% туба 15 г № 1, мазь для наруж.прим.жирная"
201600119,150,прегабалин-сз,-1,"прегабалин-сз, 150 мг № 14, капсулы"
201200299,unknown,"набор для инсулинового дозатора ""акку-чек спирит""",-1,"набор для дозатора инсулинового ""акку-чек спирит"" (сервисный набор) № 1, для использования совместно с дозатором ""акку-чек спирит"""
201600120,150,прегабалин,-1,"прегабалин, 150 мг № 14, капсулы"
201600121,300,тенофовир,-1,"тенофовир, 300 мг № 30, таблетки покрытые плёночной оболочкой"
201200026,500,майсепт,-1,"майсепт, 500 мг № 50, таблетки покрытые плёночной оболочкой"
201600122,50,прегабалин канон,-1,"прегабалин канон, 50 мг № 56, капсулы"
201500149,200,дипептивен,-1,"дипептивен, 200 мг/мл 100 мл № 10, концентрат для приготовления раствора для инфузий"
201600124,6.25,карведилол канон,-1,"карведилол канон, 6,25 мг № 30, таблетки"
201600125,6.25,ведикардол,-1,"ведикардол, 6,25 мг № 30, таблетки"
201600126,6.25,карведилол,-1,"карведилол, 6,25 мг № 30, таблетки"
201600127,12.5,карведилол канон,-1,"карведилол канон, 12,5 мг № 30, таблетки"
201600129,12.5,ведикардол,-1,"ведикардол, 12,5 мг № 30, таблетки"
201600130,12.5,карведилол-obl,-1,"карведилол-obl, 12,5 мг № 30, таблетки"
201000805,1000,мононайн,-1,"мононайн, 1000 ме № 1, лиофилизат для приготовления раствора для внутривенного введения"
201600133,(31g) 5,"игла инсулиновая ""m.schilling""",-1,"иглы м.шиллинг гмбх медикл продактс 31 g (5 мм) № 100, инсулиновые, инъекц. к инсулин.инжектору или шприц-ручкам"
201600134,(32g) 4,иглы kd-penofine,-1,"иглы kd-penofine 32g (0.23*4 мм) № 100, инъекц.однократн.прим. совместим.со шприц-ручкам"
201600136,(31g) 6,игла инсупен,-1,"иглы однораз. insupen к  шприц-ручке № 100, (0.25*6 мм), (g)-31g"
201600137,(30g),"иглы (пр-ва sfm ""сфм госпитал продактс гмбх"")",-1,"иглы (пр-ва sfm ""сфм госпитал продактс гмбх"") 30g (0.30*8 мм) № 100, инъекц.универсальные к инсулин.инжектору или шприц-ручкам"
201000679,100+25,мадопар,-1,"мадопар ""125"", 100 мг+25 мг № 100, капсулы"
201600138,(30g)8,иглы kd-penofine,-1,"иглы kd-penofine 30g (0.30*8 мм) № 100, инъекц.однократн.прим.для шприц-ручек"
201600139,(32g) 6,игла инсупен,-1,"иглы  однораз. insupen к шприц-ручке № 100, (0.23*6 мм), (g)-32g"
201500180,4,резокластин фс,-1,"резокластин фс, 4 мг/5 мл № 1, концентрат для приготовления раствора для инфузий"
201500079,300,прегабалин канон,-1,"прегабалин канон, 300 мг № 14, капсулы"
201600142,300,прегабалин-сз,-1,"прегабалин-сз, 300 мг № 14, капсулы"
201600143,300,прегабалин,-1,"прегабалин, 300 мг № 14, капсулы"
201600144,100,парацетамол,-1,"парацетамол, 100 мг № 10, суппозитории ректальные (для детей)"
200900163,25,кортизон,-1,"кортизон, 25 мг № 80, таблетки"
201600147,2,сетегис,-1,"сетегис, 2 мг № 30, таблетки"
201600158,200,ацц,-1,"ацц, 200 мг № 20, гранулы для приготовления раствора для приема внутрь"
200900347,250,феназид,-1,"феназид, 250 мг № 50, таблетки"
201500038,10000,эральфон,-1,"эральфон, 10000 ме, 1 мл, шприцы с устройством защиты иглы № 6, раствор для внутривенного и подкожного введения"
201600140,0.1,комфодерм,-1,"комфодерм, 0,1% 30 г № 1, мазь для наружного применения"
201600069,10000,веро-эпоэтин,-1,"веро-эпоэтин, 10000 ме № 1, лиофилизат для приготовления раствора для внутривенного и подкожного введения"
201300213,unknown,трансмиттер,-1,"трансмиттер ммт-7703ww № 1, компонент инсулиновой помпы (передатчик имплантируемой системы мониторинга уровня глюкозы)"
201600156,15,лейкостим,-1,"лейкостим, 15 млн.ме 1 мл № 5, раствор для внутривенного и подкожного введения"
201500107,unknown,хилак форте,-1,"хилак форте, 30 мл № 1, капли для приема внутрь"
201200042,1000,салофальк,-1,"салофальк, 1000 мг № 50, гранулы с пролонгированным высвобождением, покрытые кишечнорастворимой оболочкой"
201200075,600,флуимуцил,-1,"флуимуцил, 600 мг № 10, таблетки шипучие"
201600159,1,салофальк,-1,"салофальк, 1 г/аппликация № 1, пена ректальная дозированная (в комплекте - 7 доз/14 аппликаций)"
200900170,0.005,ксалатан,-1,"ксалатан, 0,005% 2,5 мл, флакон № 1, капли глазные"
201500211,5,зипрекса,-1,"зипрекса, 5 мг № 28, таблетки покрытые плёночной оболочкой"
201600165,5,тирозол,-1,"тирозол, 5 мг № 50, таблетки покрытые плёночной оболочкой"
201200038,250,азитромицин,-1,"азитромицин, 250 мг № 6, капсулы"
201600167,1,адемпас,-1,"адемпас, 1 мг № 42, таблетки покрытые плёночной оболочкой"
201600169,2,адемпас,-1,"адемпас, 2 мг № 42, таблетки покрытые плёночной оболочкой"
201600171,300,катэна,-1,"катэна, 300 мг № 50, капсулы"
201800134,(31g) 5,игла инсупен,-1,"иглы однораз. insupen к шприцу-ручке,пр-ва ""артсана с.п.а."" италия № 100, дл.иг.5 мм,(g)-31g"
201900099,14,терифлуномид,-1,"терифлуномид, 14 мг № 28, таблетки покрытые пленочной оболочкой"
201900100,2,канума,-1,"канума, 2 мг/мл, 10 мл, флаконы № 1, концентрат для приготовления раствора для инфузий"
201900102,1,сальбутамол-солофарм,-1,"сальбутамол-солофарм, 1 мг/мл, 2,5 мл, ампула № 10, раствор для ингаляций"
200900049,0.25+0.5,беродуал,-1,"беродуал, 0,25 мг+0,5 мг/мл 20 мл № 1, раствор для ингаляций"
201900113,1.1,равикти,-1,"равикти, 1,1 г/мл, 25 мл, флакон № 1, раствор для приема внутрь"
200900329,25,тиорил,-1,"тиорил, 25 мг № 100, таблетки покрытые плёночной оболочкой"
201500087,5,кораксан,-1,"кораксан, 5 мг № 28, таблетки покрытые плёночной оболочкой"
201900118,10,солонэкс,-1,"солонэкс, 10 мг/мл, 20 мл, флакон № 1, капли для приема внутрь"
201900119,10,розувастатин,-1,"розувастатин, 10 мг № 30, таблетки покрытые плёночной оболочкой"
201900120,50,метопролол,-1,"метопролол, 50 мг № 50, таблетки"
201800136,(31g) 5,иглы аcti-fine,-1,"иглы инсул.acti-fine, пр-ва м.шиллинг гмбх медикал продактс, германия № 100, дл.иг.5 мм, (g)-31g"
201800082,165,гамманорм,-1,"гамманорм, 165 мг/мл, 20 мл № 20, раствор для инъекций"
201400063,500,салофальк,-1,"салофальк, 500 мг № 50, таблетки покрытые оболочкой, кишечнорастворимые"
201900122,(32g) 8,"иглы (пр-ва sfm ""сфм госпитал продактс гмбх"")",-1,"иглы медиц. инъекц.однораз.д/инсул.инжекторов(пен ручек) пр-ва сфм госпитал продактс гмбх, № 100, дл.иг.8 мм, (g)-32g"
201900123,(31g) 6,иглы аcti-fine,-1,"иглы инсулиновые acti-fine, произв.м.шиллинг гмбх медикл продактс № 100,длина иглы-6 мм,диаметр иглы(g) - 31g"
201900124,(31g) 8,иглы аcti-fine,-1,"иглы инсулиновые acti-fine, произв.м.шиллинг гмбх медикл продактс № 100,длина иглы-8 мм,диаметр иглы(g) - 31g"
201700147,(30g) 8,иглы для инсулиновых инжекторов,-1,"иглы для инсулиновых инжекторов № 100, длина иглы 8 мм, (g)-30g"
201900125,(32g) 5,"иглы (пр-ва sfm ""сфм госпитал продактс гмбх"")",-1,"иглы медиц. инъекц.однораз.д/инсул.инжекторов(пен ручек) пр-ва сфм госпитал продактс гмбх, № 100, дл.иг.5 мм, (g)-32g"
201900126,(32g) 4,иглы аcti-fine,-1,"иглы инсулиновые acti-fine, произв.м.шиллинг гмбх медикл продактс № 100,длина иглы-4 мм,диаметр иглы(g) - 32g"
201300102,150,пропанорм,-1,"пропанорм, 150 мг № 50, таблетки покрытые плёночной оболочкой"
201700080,(800-1400 ме) 1000,коэйт-дви,-1,"коэйт-дви, (800-1400 ме) 1000 ме № 1, лиофилизат для раствора для внутривенного введения"
201900129,24,бетагистин канон,-1,"бетагистин канон, 24 мг № 20, таблетки"
202300212,250,энтерол,-1,"энтерол, 250 мг № 30, капсулы"
201400139,30,нейпомакс,-1,"нейпомакс, 30 млн.ме/мл, 1 мл, флаконы № 5, раствор для внутривенного и подкожного введения"
201800104,unknown,гианеб,-1,"гианеб, 5 мл флаконы № 30, раствор для ингаляций"
